"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2214","Verify article count is at least 30","firefox","Sat Oct 05 19:08:39 GMT 2024","passed","Sat Oct 05 19:08:41 GMT 2024","Hacker News Tests","","",""
"","1700","Verify time difference between articles","chromium","Sat Oct 05 19:08:31 GMT 2024","passed","Sat Oct 05 19:08:33 GMT 2024","Hacker News Tests","","",""
"","2785","Verify article has valid user","firefox","Sat Oct 05 19:08:59 GMT 2024","passed","Sat Oct 05 19:09:02 GMT 2024","Hacker News Tests","","",""
"","30337","Search for a specific term","chromium","Sat Oct 05 19:08:24 GMT 2024","broken","Sat Oct 05 19:08:55 GMT 2024","Hacker News Tests","","",""
"","2744","Verify page title","chromium","Sat Oct 05 19:08:33 GMT 2024","passed","Sat Oct 05 19:08:36 GMT 2024","Hacker News Tests","","",""
"","1545","Verify article IDs are unique","chromium","Sat Oct 05 19:08:30 GMT 2024","passed","Sat Oct 05 19:08:31 GMT 2024","Hacker News Tests","","",""
"","3595","Verify article has non-empty title","firefox","Sat Oct 05 19:08:55 GMT 2024","failed","Sat Oct 05 19:08:59 GMT 2024","Hacker News Tests","","",""
"","2082","Verify page title","firefox","Sat Oct 05 19:09:02 GMT 2024","passed","Sat Oct 05 19:09:04 GMT 2024","Hacker News Tests","","",""
"","30337","Verify ""More"" link loads additional articles","chromium","Sat Oct 05 19:08:24 GMT 2024","broken","Sat Oct 05 19:08:55 GMT 2024","Hacker News Tests","","",""
"","2077","Validate first 100 articles are sorted newest to oldest","chromium","Sat Oct 05 19:08:24 GMT 2024","passed","Sat Oct 05 19:08:26 GMT 2024","Hacker News Tests","","",""
"","1808","Verify article count is at least 30","chromium","Sat Oct 05 19:08:24 GMT 2024","failed","Sat Oct 05 19:08:26 GMT 2024","Hacker News Tests","","",""
"","1528","Verify article has valid user","chromium","Sat Oct 05 19:08:28 GMT 2024","passed","Sat Oct 05 19:08:30 GMT 2024","Hacker News Tests","","",""
"","3263","Validate first 100 articles are sorted newest to oldest","firefox","Sat Oct 05 19:08:36 GMT 2024","passed","Sat Oct 05 19:08:39 GMT 2024","Hacker News Tests","","",""
"","30473","Search for a specific term","firefox","Sat Oct 05 19:08:41 GMT 2024","broken","Sat Oct 05 19:09:12 GMT 2024","Hacker News Tests","","",""
"","14262","Verify ""More"" link loads additional articles","firefox","Sat Oct 05 19:08:55 GMT 2024","failed","Sat Oct 05 19:09:09 GMT 2024","Hacker News Tests","","",""
"","2775","Verify article has valid score","firefox","Sat Oct 05 19:08:57 GMT 2024","passed","Sat Oct 05 19:09:00 GMT 2024","Hacker News Tests","","",""
"","30107","Verify article has non-empty title","chromium","Sat Oct 05 19:08:26 GMT 2024","broken","Sat Oct 05 19:08:57 GMT 2024","Hacker News Tests","","",""
"","1960","Verify article IDs are unique","firefox","Sat Oct 05 19:09:00 GMT 2024","passed","Sat Oct 05 19:09:02 GMT 2024","Hacker News Tests","","",""
"","2135","Verify time difference between articles","firefox","Sat Oct 05 19:09:02 GMT 2024","passed","Sat Oct 05 19:09:04 GMT 2024","Hacker News Tests","","",""
"","1643","Verify article has valid score","chromium","Sat Oct 05 19:08:26 GMT 2024","passed","Sat Oct 05 19:08:28 GMT 2024","Hacker News Tests","","",""
